#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-03-21T04:32:55 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5aaca3e01564d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJS/230/20/table5
#-nav=cat:J/ApJS/230/20&tab:{J/ApJS/230/20/table5}&key:source=J/ApJS/230/20&HTTPPRM:&&-ref=VIZ5aaca3e01564d&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=True&-out=Pred&-out=Prob&-out=CoNFIG&-out=B12&-out=NVSS&-out=FIRST&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/230/20/table5
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/230/20/table5
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=True
#-out=Pred
#-out=Prob
#-out=CoNFIG
#-out=B12
#-out=NVSS
#-out=FIRST
#

#RESOURCE=yCat_22300020
#Name: J/ApJS/230/20
#Title: Machine learning technique to classify CoNFIG gal. (Aniyan+, 2017)
#Table	J_ApJS_230_20_table5:
#Name: J/ApJS/230/20/table5
#Title: Table of predictions for validation samples
#Column	Name	(a19)	Source Name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	True	(A4)	True Class of Source (1)	[ucd=src.class]
#Column	Pred	(a7)	Prediction by algorithm (1)	[ucd=src.class]
#Column	Prob	(F9.5)	Probability Score of Prediction (1)	[ucd=stat.probability]
#Column	CoNFIG	(I3)	Display data from CoNFIG (Gendre & Wall 2008, J/MNRAS/390/819 and Gendre+, 2010, J/MNRAS/404/1719) within 0.5" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	B12	(I3)	Display data from Best+, 2012, J/MNRAS/421/1569, within 2" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	NVSS	(I3)	Display data from NVSS (VIII/65) within 5" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	FIRST	(I3)	Display data from NVSS (VIII/92) and Proctor, 2011, J/ApJS/194/31, within 3" [NULL integer written as an empty string]	[ucd=meta.ref.url]
Name|RAJ2000|DEJ2000|True|Pred|Prob|CoNFIG|B12|NVSS|FIRST
4C 16.42           |14 47 44.550|+16 36 06.00|FRII|FRI    | 99.84115|  1|  0|  1|  1
4C 19.44           |13 57 04.370|+19 19 08.10|FRII|FRI    | 99.72115|  2|  0|  1|  1
4C 22.25           |10 00 21.950|+22 33 18.20|FRII|FRII   | 99.99890|  1|  0|  1|  0
4C 25.29           |09 53 38.990|+25 16 24.60|FRII|FRII   | 99.97620|  1|  0|  1|  0
4C 27.31           |15 23 25.270|+27 04 57.70|FRII|FRII   | 99.99950|  1|  0|  1|  0
4C 29.47           |13 19 06.830|+29 38 33.80|FRI |BT     | 99.50165|  2|  0|  1|  0
4C 32.24           |08 12 59.480|+32 43 05.60|FRII|FRII   | 99.99950|  2|  0|  1|  0
4C 34.47           |17 23 20.850|+34 17 57.30|FRII|FRI    | 99.43040|  2|  0|  1|  1
4C 37.34           |12 36 49.960|+36 55 18.00|FRII|FRII   | 99.99995|  1|  0|  1|  0
4C 41.19           |09 07 34.920|+41 34 53.80|FRII|FRII   | 99.94775|  2|  0|  1|  0
4C 41.22           |10 15 58.260|+40 46 47.10|FRII|FRII   | 99.96695|  1|  1|  0|  0
4C 46.21           |10 27 14.970|+46 03 21.90|FRII|FRII   | 99.99900|  2|  0|  1|  1
4C 52.22           |10 31 43.550|+52 25 37.90|FRII|FRII   | 79.84715|  1|  0|  1|  1
4C 55.21           |10 46 18.040|+54 59 37.50|FRII|FRII   | 99.62255|  1|  0|  1|  0
4C 61.23           |11 37 16.950|+61 20 38.40|FRII|FRI    | 96.45000|  2|  0|  1|  0
BWE 1459+2451      |15 02 00.350|+24 39 17.80|FRII|FRII   | 99.99995|  1|  0|  1|  0
Cul 1508+182       |15 11 09.080|+18 01 53.80|FRI |BT     | 99.80105|  1|  0|  1|  0
J002900.98011341.7 |00 29 00.980|+01 13 41.70|FRI |FRII   | 98.30785|  0|  0|  0|  0
J004152.1+002837   |00 41 51.586|+00 28 36.22|BT  |FRII   | 99.97730|  0|  0|  0|  1
J013134.5+003341   |01 31 34.481|+00 33 33.12|BT  |Strange|  0.00000|  0|  0|  0|  1
J021052.2-063333   |02 10 52.275|-06 33 35.99|BT  |BT     | 88.81815|  0|  0|  0|  1
J025437.99+005621.9|02 54 37.990|+00 56 21.90|FRI |FRI    | 99.99970|  0|  1|  0|  1
J071406.0+510000   |07 14 05.715|+51 00 07.49|BT  |FRII   | 97.13635|  0|  0|  0|  1
J073014.37+393200.4|07 30 14.370|+39 32 00.40|FRI |FRI    |100.00000|  0|  1|  1|  1
J073505.25+415827.5|07 35 05.250|+41 58 27.50|FRI |FRI    | 99.99985|  0|  1|  1|  1
J073539.8+251020   |07 35 40.204|+25 10 14.53|BT  |BT     | 97.58650|  0|  0|  0|  1
J073618.0+241043   |07 36 18.534|+24 11 04.67|BT  |BT     | 95.00480|  0|  0|  1|  1
J075309.91+355557.1|07 53 09.910|+35 55 57.10|FRI |FRI    | 99.39595|  0|  1|  1|  1
J075506.67+262115.9|07 55 06.670|+26 21 15.90|FRI |FRI    | 99.99995|  0|  1|  0|  1
J080326.62+303725.0|08 03 26.620|+30 37 25.00|FRI |FRI    | 99.99990|  0|  1|  1|  1
J080720.7+141620   |08 07 21.382|+14 16 19.08|BT  |BT     | 99.99730|  0|  0|  1|  1
J080923.10+211546.2|08 09 23.100|+21 15 46.20|FRI |FRI    | 99.99975|  0|  1|  1|  1
J081604.40+112449.4|08 16 04.400|+11 24 49.40|FRI |FRI    | 99.99935|  0|  1|  0|  1
J081659.5+571627   |08 16 59.900|+57 16 34.67|BT  |BT     | 99.80495|  0|  0|  0|  1
J081801.3+495610   |08 18 00.929|+49 56 01.86|BT  |FRII   | 76.91590|  0|  0|  0|  1
J082028.09+485347.3|08 20 28.090|+48 53 47.30|FRI |FRII   | 81.92315|  0|  1|  1|  1
J082603.81+471910.3|08 26 03.810|+47 19 10.30|FRI |FRI    | 99.99995|  0|  1|  1|  1
J082718.2+463510   |08 27 17.930|+46 35 28.84|BT  |BT     | 99.97485|  0|  0|  0|  1
J083138.83+223422.9|08 31 38.830|+22 34 22.90|FRI |FRI    | 99.48420|  0|  1|  1|  1
J083224.13+164949.1|08 32 24.130|+16 49 49.10|FRI |FRI    | 99.99945|  0|  1|  0|  1
J083931.0+594956   |08 39 30.292|+59 49 47.27|BT  |BT     | 99.88235|  0|  0|  1|  1
J085719.46+241142.6|08 57 19.460|+24 11 42.60|FRI |FRI    | 99.99985|  0|  1|  1|  1
J085815.2+505303   |08 58 15.260|+50 53 25.65|BT  |BT     | 99.98185|  0|  0|  0|  1
J091204.2+094405   |09 12 04.469|+09 44 11.93|BT  |BT     | 99.99150|  0|  0|  1|  1
J091420.6+582253   |09 14 21.557|+58 22 44.78|BT  |FRII   | 83.06820|  0|  0|  0|  3
J091639.5+052552   |09 16 39.143|+05 25 50.61|BT  |FRII   | 97.36515|  0|  0|  1|  1
J093349.9+451956   |09 33 49.887|+45 19 58.92|BT  |BT     | 99.96880|  0|  1|  1|  1
J094332.4-050736   |09 43 34.199|-05 07 38.68|BT  |BT     | 99.44625|  0|  0|  0|  1
J094455.2-061603   |09 44 55.016|-06 16 08.64|BT  |BT     | 89.26670|  0|  0|  1|  1
J095007.0+434400   |09 50 07.371|+43 44 00.42|BT  |FRII   | 99.99385|  0|  0|  1|  1
J095603.5+233810   |09 56 03.235|+23 38 10.83|BT  |BT     | 99.99870|  0|  0|  1|  1
J095716.4+190651   |09 57 15.641|+19 06 44.27|BT  |BT     | 99.99140|  0|  0|  0|  1
J095759.3+032725   |09 57 59.557|+03 27 17.25|BT  |BT     | 99.87125|  0|  0|  0|  1
J100044.5+204726   |10 00 43.672|+20 47 12.91|BT  |BT     | 99.99120|  0|  0|  1|  2
J100836.7+281301   |10 08 36.777|+28 13 01.83|BT  |BT     | 92.50330|  0|  0|  1|  2
J101220.0+363927   |10 12 20.152|+36 39 35.87|BT  |BT     | 99.98545|  0|  0|  0|  1
J101436.3+494531   |10 14 35.732|+49 45 25.29|BT  |BT     | 97.66070|  0|  0|  0|  1
J101545.46+311500.2|10 15 45.460|+31 15 00.20|FRI |FRI    |100.00000|  0|  1|  1|  0
J101937.94+001955.7|10 19 37.940|+00 19 55.70|FRI |FRI    |100.00000|  0|  1|  0|  1
J102008.61+174817.4|10 20 08.610|+17 48 17.40|FRI |FRI    |100.00000|  0|  1|  1|  1
J102501.9+040141   |10 25 01.289|+04 01 52.95|BT  |FRII   | 78.43020|  0|  0|  0|  1
J103946.8-064521   |10 39 47.003|-06 45 27.39|BT  |BT     | 99.98185|  0|  0|  0|  1
J104233.38+363946.5|10 42 33.380|+36 39 46.50|FRI |FRI    | 99.99680|  0|  1|  0|  1
J104855.28+311945.2|10 48 55.280|+31 19 45.20|FRI |FRI    | 99.99975|  0|  1|  0|  1
J105129.8+050325   |10 51 30.505|+05 03 11.56|BT  |BT     | 99.99750|  0|  0|  1|  1
J105138.3+580754   |10 51 39.593|+58 07 53.30|BT  |BT     | 99.92915|  0|  0|  1|  1
J105229.1+114536   |10 52 28.879|+11 45 46.66|BT  |BT     | 99.33875|  0|  0|  1|  1
J105348.93+402345.9|10 53 48.930|+40 23 45.90|FRI |FRI    | 99.99995|  0|  1|  0|  1
J105501.0+520156   |10 55 00.986|+52 02 01.30|BT  |FRII   | 99.99900|  0|  0|  1|  2
J105702.79+564503.1|10 57 02.790|+56 45 03.10|FRI |FRI    | 99.99990|  0|  1|  1|  1
J110535.78+091956.3|11 05 35.780|+09 19 56.30|FRI |FRI    | 99.99990|  0|  1|  0|  1
J111037.33+541135.7|11 10 37.330|+54 11 35.70|FRI |FRI    | 99.99960|  0|  1|  1|  1
J112038.5+291234   |11 20 40.516|+29 12 26.04|BT  |BT     | 99.73025|  0|  0|  0|  1
J114210.72+552729.6|11 42 10.720|+55 27 29.60|FRI |FRI    | 99.99990|  0|  1|  0|  1
J114340.1+072957   |11 43 40.144|+07 29 51.36|BT  |BT     | 99.99635|  0|  0|  0|  1
J114345.53+192333.4|11 43 45.530|+19 23 33.40|FRI |FRI    | 99.99965|  0|  1|  1|  1
J115146.9+042223   |11 51 46.641|+04 22 07.58|BT  |BT     | 99.88595|  0|  0|  0|  1
J115508.97+232623.4|11 55 08.970|+23 26 23.40|FRI |FRI    |100.00000|  0|  1|  0|  0
J115513.4-003137   |11 55 13.492|-00 31 52.82|BT  |FRII   | 84.75715|  0|  0|  1|  1
J115729.60+292308.1|11 57 29.600|+29 23 08.10|FRI |FRI    |100.00000|  0|  1|  1|  1
J120619.8+034700   |12 06 20.268|+03 46 51.28|BT  |BT     | 99.97110|  0|  0|  1|  1
J121619.95+155417.7|12 16 19.950|+15 54 17.70|FRI |FRI    | 99.99505|  0|  1|  1|  1
J121740.0+033958   |12 17 39.574|+03 39 54.25|BT  |FRII   | 99.98785|  0|  0|  1|  2
J122640.83+430509.2|12 26 40.830|+43 05 09.20|FRI |FRI    |100.00000|  0|  1|  0|  1
J123005.9-075255   |12 30 05.782|-07 52 51.97|BT  |BT     | 99.96670|  0|  0|  0|  1
J124206.0+323229   |12 42 06.926|+32 32 29.47|BT  |BT     | 92.11745|  0|  0|  0|  1
J124619.2+262635   |12 46 19.348|+26 26 51.47|BT  |BT     | 99.84150|  0|  0|  0|  1
J124622.48+075327.9|12 46 22.480|+07 53 27.90|FRI |FRI    | 99.99905|  0|  1|  1|  1
J124647.52+545315.0|12 46 47.520|+54 53 15.00|FRI |FRI    | 99.99995|  0|  1|  1|  1
J124918.2+500443   |12 49 17.504|+50 04 59.59|BT  |BT     | 95.59975|  0|  0|  0|  1
J124942.2+303838   |12 49 43.092|+30 38 50.77|BT  |BT     | 99.99735|  0|  0|  0|  1
J125045.7+344027   |12 50 45.661|+34 40 35.30|BT  |BT     | 97.21800|  0|  0|  0|  1
J125819.6+443157   |12 58 19.298|+44 31 51.76|BT  |BT     | 99.99555|  0|  0|  1|  2
J130409.2+185549   |13 04 09.385|+18 55 58.30|BT  |BT     | 99.99775|  0|  0|  1|  2
J130817.7+175133   |13 08 17.488|+17 51 41.73|BT  |BT     |100.00000|  0|  0|  1|  1
J131738.3+191016   |13 17 39.300|+19 10 26.92|BT  |FRII   | 99.73060|  0|  0|  0|  1
J132736.13+270816.8|13 27 36.130|+27 08 16.80|FRI |FRI    | 99.99990|  0|  1|  1|  0
J133038.01+390815.4|13 30 38.010|+39 08 15.40|FRI |FRI    | 99.99965|  0|  1|  1|  1
J133824.8+293103   |13 38 24.993|+29 30 57.24|BT  |BT     | 99.99885|  0|  0|  1|  1
J133904.1+162052   |13 39 04.002|+16 20 43.90|BT  |BT     | 99.99650|  0|  0|  0|  1
J134404.9+242533   |13 44 04.397|+24 25 44.63|BT  |BT     | 99.99935|  0|  0|  0|  1
J140617.9+275615   |14 06 17.538|+27 56 21.98|BT  |BT     | 94.17600|  0|  0|  0|  1
J141702.1+201902   |14 17 02.222|+20 19 06.36|BT  |BT     | 85.08980|  0|  0|  0|  1
J142141.0-074334   |14 21 41.232|-07 43 37.19|BT  |FRII   | 99.69890|  0|  0|  0|  2
J143505.9-040924   |14 35 05.578|-04 09 20.92|BT  |BT     | 99.99985|  0|  0|  0|  1
J143928.78+110613.8|14 39 28.780|+11 06 13.80|FRI |FRI    | 99.99970|  0|  1|  0|  1
J145022.4+272820   |14 50 22.541|+27 28 09.02|BT  |BT     | 99.88835|  0|  0|  0|  1
J145555.27+115141.4|14 55 55.270|+11 51 41.40|FRI |FRI    | 99.99905|  0|  1|  1|  0
J150114.6+095919   |15 01 14.325|+09 59 33.34|BT  |BT     |100.00000|  0|  0|  1|  1
J150408.01+565545.4|15 04 08.010|+56 55 45.40|FRI |FRI    | 99.99810|  0|  1|  0|  1
J150450.51+044054.8|15 04 50.510|+04 40 54.80|FRI |FRI    | 99.99995|  0|  1|  1|  1
J151056.2+054441   |15 10 55.851|+05 44 39.29|BT  |FRII   | 99.95345|  0|  0|  1|  1
J151744.96+310015.8|15 17 44.960|+31 00 15.80|FRI |FRI    | 99.99990|  0|  1|  1|  1
J152439.9+620225   |15 24 42.006|+62 02 50.93|BT  |BT     | 99.99710|  0|  0|  1|  1
J152522.33+314037.1|15 25 22.330|+31 40 37.10|FRI |FRI    | 99.99995|  0|  1|  1|  1
J153522.1+342247   |15 35 22.994|+34 23 02.98|BT  |BT     | 99.98210|  0|  0|  1|  1
J153616.2+142045   |15 36 16.805|+14 20 41.16|BT  |BT     | 99.68820|  0|  0|  0|  2
J153932.09+013710.5|15 39 32.090|+01 37 10.50|FRI |FRI    |100.00000|  0|  1|  1|  1
J154549.4-024954   |15 45 48.671|-02 49 59.76|BT  |BT     | 99.99845|  0|  0|  0|  1
J155222.36+223311.9|15 52 22.360|+22 33 11.90|FRI |FRI    | 99.99420|  0|  1|  0|  1
J155721.38+544015.9|15 57 21.380|+54 40 15.90|FRI |FRI    | 99.99960|  0|  1|  1|  1
J160318.6+192414   |16 03 18.856|+19 24 18.13|BT  |BT     | 99.97035|  0|  0|  1|  1
J160803.7+221104   |16 08 03.712|+22 11 07.20|BT  |BT     | 99.99915|  0|  0|  1|  2
J160816.32+373743.1|16 08 16.320|+37 37 43.10|FRI |FRI    | 99.99840|  0|  1|  1|  1
J161242.69+295404.7|16 12 42.690|+29 54 04.70|FRI |FRI    | 99.99995|  0|  1|  1|  1
J161535.5+192713   |16 15 36.030|+19 27 09.70|BT  |BT     | 99.99965|  0|  0|  1|  1
J161637.7+422656   |16 16 38.055|+42 27 03.61|BT  |FRII   | 79.63385|  0|  0|  1|  1
J162007.3+422845   |16 20 08.119|+42 28 30.43|BT  |BT     | 99.98165|  0|  0|  1|  1
J162228.9+264654   |16 22 29.002|+26 47 15.82|BT  |BT     | 99.99160|  0|  0|  0|  1
J162806.20+084538.0|16 28 06.200|+08 45 38.00|FRI |FRI    | 99.98650|  0|  1|  0|  1
J163401.9+062637   |16 34 02.465|+06 26 30.78|BT  |BT     | 99.99960|  0|  0|  1|  1
J163424.2+341543   |16 34 23.899|+34 15 41.99|BT  |BT     | 97.93340|  0|  0|  1|  1
J163932.7+534642   |16 39 27.919|+53 46 46.72|BT  |BT     | 96.92880|  0|  0|  0|  1
J170115.59+240608.4|17 01 15.590|+24 06 08.40|FRI |FRI    | 99.99870|  0|  1|  1|  1
J170602.20+201757.8|17 06 02.200|+20 17 57.80|FRI |FRI    |100.00000|  0|  1|  1|  1
J170616.4+200652   |17 06 16.525|+20 06 36.70|BT  |BT     | 99.99640|  0|  0|  0|  1
J171137.98+580330.2|17 11 37.980|+58 03 30.20|FRI |FRI    | 99.99995|  0|  1|  1|  1
J171223.15+640157.1|17 12 23.150|+64 01 57.10|FRI |BT     | 87.70575|  0|  1|  0|  1
J171621.8+260751   |17 16 22.210|+26 08 03.08|BT  |BT     | 95.83970|  0|  0|  0|  1
J172320.6+355809   |17 23 19.337|+35 58 00.29|BT  |BT     | 99.99660|  0|  0|  0|  1
J223902.4-093235   |22 39 02.665|-09 32 43.07|BT  |FRII   | 99.99755|  0|  0|  1|  1
J233731.9+004340   |23 37 31.414|+00 43 31.64|BT  |BT     | 99.99915|  0|  0|  0|  2
J233744.3-004208   |23 37 45.695|-00 41 53.75|BT  |BT     | 99.97665|  0|  0|  0|  1
NGC 5532           |14 16 53.500|+10 48 40.20|FRI |FRI    | 99.78840|  2|  0|  1|  0
GB6 B1540+11       |15 42 56.170|+10 54 34.70|FRII|FRII   | 99.99985|  1|  0|  1|  1
TXS 1140+217       |11 42 57.230|+21 29 12.50|FRII|FRII   |100.00000|  1|  0|  1|  1
TXS 1408+009       |14 11 23.530|+00 42 40.10|FRII|FRII   | 99.60710|  1|  0|  1|  0
TXS 1408+016       |14 11 08.290|+01 24 41.10|FRII|FRII   | 99.99960|  1|  0|  1|  0
TXS 1410+028       |14 13 27.390|+02 37 28.80|FRII|FRII   | 99.99980|  1|  0|  1|  0
TXS 1429-006       |14 31 46.860|-00 50 13.00|FRII|FRII   | 77.57315|  1|  0|  1|  1
TXS 1432+028       |14 34 52.840|+02 36 03.00|FRII|FRII   | 99.99990|  1|  0|  1|  0
TXS 1434-028       |14 37 22.790|-03 03 07.30|FRII|FRII   | 99.99995|  1|  0|  1|  0
TXS 1443+125       |14 45 58.320|+12 22 28.50|FRII|FRII   | 99.98850|  1|  0|  1|  0
TXS 1454+268       |14 56 21.940|+26 35 56.40|FRII|FRI    | 95.71205|  1|  0|  1|  1
TXS 1506+171       |15 09 16.350|+16 58 57.20|FRII|FRII   | 99.99870|  1|  0|  1|  0
TXS 1514+215       |15 17 04.560|+21 22 42.90|FRII|FRII   | 99.99875|  1|  0|  1|  0
TXS 1519+108       |15 22 12.150|+10 41 31.00|FRII|FRII   | 99.99990|  1|  0|  1|  0
TXS 1534+145       |15 37 08.010|+14 24 47.10|FRII|FRII   | 99.99995|  1|  0|  1|  0
TXS 1536+144       |15 39 16.460|+14 16 22.60|FRII|FRII   | 99.99635|  1|  0|  1|  1
TXS 1543+180       |15 46 02.560|+17 54 38.40|FRII|FRII   |100.00000|  1|  0|  1|  0
TXS 1554+144       |15 56 43.270|+14 18 32.80|FRII|FRII   | 99.99885|  1|  0|  1|  0

